listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
100%,10,10,100049,39.89156060655346,116.258233979994,1,1,1,4,,$ 75.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,7,
100%,3,3,,39.89014675229795,116.33754780563326,3,1,0,2,,$ 500.00,,,,,1,$ 0.00,1,1125,28,58,88,363,0,,,,,,,,flexible,3,
100%,4,4,100022,39.89375698750282,116.50516590156757,3,1,1,1,,$ 459.00,,,$ 633.00,$ 32.00,1,$ 32.00,1,1125,24,54,84,359,3,93,10,10,10,10,9,9,flexible,4,0.74
100%,2,2,100000,40.04078808809172,116.42147847460305,5,1,2,3,,$ 568.00,,,$ 684.00,,1,$ 50.00,1,1125,22,52,82,82,0,,,,,,,,strict_14_with_grace_period,2,
100%,2,2,100096,40.076531074864036,116.35826455252611,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,28,58,86,174,6,100,10,10,10,10,10,10,flexible,2,1.78
100%,7,7,100062,39.89714430574448,116.4188137085325,4,1,1,2,,$ 623.00,,,,$ 50.00,1,$ 0.00,1,1125,19,49,79,354,4,100,10,10,10,10,10,10,flexible,7,1.15
100%,36,36,102202,40.186155984681015,116.40174678051017,10,4,4,5,,"$ 3,279.00",,,,,1,$ 0.00,1,180,27,57,87,177,0,,,,,,,,strict_14_with_grace_period,16,
100%,9,9,102102,40.36574619781649,115.9944963858338,3,1,1,3,,$ 315.00,,,,,1,$ 0.00,1,1125,16,32,62,337,0,,,,,,,,flexible,9,
67%,1,1,100001,39.932188544819894,116.45375740784128,2,1,1,1,,$ 698.00,,,,,1,$ 0.00,3,1125,28,58,88,88,0,,,,,,,,flexible,1,
100%,36,36,102202,40.11901812866588,116.29324848061653,8,4,4,4,,"$ 3,279.00",,,,,1,$ 0.00,1,180,30,60,90,180,0,,,,,,,,strict_14_with_grace_period,16,
100%,2,2,,39.900838161062374,116.4488393815782,2,1,1,1,,$ 151.00,,,,$ 70.00,1,$ 50.00,1,30,17,29,59,59,16,98,10,10,10,10,10,10,strict_14_with_grace_period,2,4.75
N/A,1,1,102400,39.721572880760576,116.1518211452666,2,0,2,2,,$ 500.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,1,
100%,3,3,100032,39.922233646207026,116.35441459474123,3,1,1,1,,$ 602.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,3,
100%,1,1,100032,39.919447107876934,116.35487384901656,3,1,1,1,,$ 281.00,,,,,1,$ 0.00,1,1125,27,57,87,177,0,,,,,,,,strict_14_with_grace_period,1,
100%,28,28,,39.937937792873186,116.49462314860992,2,1,1,1,,$ 787.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,moderate,15,
98%,12,12,,39.76107624625979,116.5841656666723,6,1.5,3,3,,$ 589.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,12,
100%,28,28,,39.937477833635135,116.4940717403933,4,2,2,2,,"$ 1,260.00",,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,moderate,15,
50%,1,1,100000,39.90453535023482,116.36616816159744,2,1,1,1,,$ 472.00,,,$ 821.00,$ 48.00,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,flexible,1,
100%,2,2,100094,40.04868867732845,116.27653880380929,1,1,0,1,,$ 103.00,,,,,1,$ 0.00,1,1125,0,0,0,0,4,95,10,10,10,10,10,10,flexible,1,1.12
100%,28,28,,39.93787339829063,116.49260210285951,2,1,1,1,,$ 616.00,,,,,1,$ 0.00,1,1125,29,59,89,89,0,,,,,,,,moderate,15,
100%,3,3,100076,39.78743170142097,116.33173346264262,1,0.5,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,23,53,83,358,11,100,10,10,10,10,10,10,moderate,3,3
90%,4,4,,39.929594027060446,116.51078796977822,2,1,1,1,,$ 301.00,,,$ 0.00,$ 35.00,1,$ 0.00,1,1125,25,55,85,360,1,80,10,8,10,10,10,10,flexible,4,0.53
100%,3,3,100001,39.94918022147399,116.42557080873719,1,1,1,1,,$ 185.00,,,$ 700.00,$ 40.00,1,$ 200.00,2,5,30,60,90,365,7,97,10,10,10,9,10,10,flexible,3,1.71
100%,28,28,,39.93754653579462,116.4922765740016,2,1,1,1,,$ 527.00,,,,,1,$ 0.00,1,365,29,59,89,89,0,,,,,,,,moderate,15,
100%,3,3,100123,39.9097791675942,116.51691306402235,2,1,1,1,,$ 199.00,,,,$ 35.00,1,$ 0.00,3,1125,27,57,87,177,1,100,10,10,10,10,10,10,moderate,3,0.48
93%,6,6,100001,39.937411423525276,116.44469604241334,2,1,1,1,,$ 459.00,,,$ 0.00,$ 59.00,2,$ 50.00,1,1125,30,60,90,259,3,100,10,10,10,10,10,10,moderate,6,0.91
100%,1,1,100007,39.946089002457136,116.41473868474061,3,1,1,2,,$ 397.00,,,$ 0.00,$ 0.00,3,$ 50.00,1,30,23,53,83,102,0,,,,,,,,flexible,1,
100%,5,5,,39.898548270402415,116.4204120573109,4,1,1,2,,$ 678.00,,,,$ 50.00,1,$ 0.00,1,1125,21,51,81,356,2,100,10,10,10,10,10,10,flexible,5,0.58
100%,1,1,100000,40.64496555685619,117.2677693470424,4,2,2,3,,$ 890.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,16,16,28,296,0,,,,,,,,flexible,1,
N/A,1,1,,39.798855978032535,116.11239764678517,4,2,2,2,,$ 883.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,flexible,1,
88%,1,1,,39.89671466467927,116.46286929943419,4,1,2,3,,$ 520.00,,,,,1,$ 0.00,2,1125,18,48,78,353,2,100,10,10,10,10,10,10,flexible,1,0.55
100%,7,7,101405,40.426190708904684,116.56194232976874,2,1,1,1,,$ 281.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,7,
100%,2,2,,39.92697915589647,116.22943074201858,1,1,1,1,,$ 205.00,,,$ 800.00,,1,$ 0.00,1,1125,19,49,79,354,3,100,10,10,10,10,9,10,flexible,2,0.77
100%,5,5,100096,39.990177936326,116.4788385763359,2,1,0,1,,$ 459.00,,,$ 0.00,,1,$ 0.00,1,1125,29,59,89,364,3,93,10,10,10,10,10,9,strict_14_with_grace_period,5,1.06
90%,7,7,,40.012103166686735,116.3522707218869,3,1,1,2,,$ 397.00,,,$ 700.00,$ 50.00,1,$ 0.00,1,1125,17,47,77,167,2,100,10,10,10,10,10,10,moderate,7,0.55
100%,6,6,,39.92403125055156,116.37456067030813,10,3,3,6,,"$ 2,081.00",,,,$ 0.00,1,$ 0.00,1,60,12,27,27,27,9,100,10,10,10,10,10,10,flexible,6,2.31
100%,1,1,101110,39.74894312704742,116.54816787658653,5,2,3,3,,$ 383.00,,,,,1,$ 0.00,3,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,32,32,,39.91365085759557,116.4919594252573,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,30,0,0,12,287,2,100,10,9,10,10,10,10,flexible,32,0.48
N/A,1,1,,39.769157110298465,116.18475673826264,1,1,1,1,,$ 698.00,,,$ 699.00,$ 0.00,1,$ 150.00,1,30,30,60,90,365,0,,,,,,,,flexible,1,
100%,4,4,102212,40.235232730239865,116.3651041268141,8,3,4,3,,"$ 2,478.00",,,,,1,$ 0.00,1,1125,12,30,60,60,1,100,10,10,10,10,10,10,moderate,4,0.36
100%,6,6,100075,39.85794993923956,116.40377399645787,1,1,1,4,,$ 103.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,6,
100%,5,5,102100,40.52146161676289,115.95094991120811,4,1,1,3,,$ 301.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,5,
100%,8,8,100080,39.97612183456792,116.30541732014869,1,1,1,1,,$ 157.00,,,,$ 58.00,1,$ 158.00,3,1125,29,59,89,364,1,80,6,6,10,10,10,6,strict_14_with_grace_period,5,0.41
91%,22,22,100083,39.994582375380496,116.34377041925468,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,30,60,90,365,3,80,8,10,7,8,7,8,flexible,22,1.25
100%,5,5,100000,40.104784720679845,116.63215361072935,2,1,1,1,,$ 288.00,,,$ 0.00,$ 33.00,1,$ 33.00,1,1125,30,60,90,365,17,88,8,9,9,9,9,9,flexible,5,5.2
100%,8,8,100080,39.979837957671975,116.30698647809868,1,1,1,1,,$ 157.00,,,,$ 68.00,1,$ 0.00,3,1125,22,52,82,357,4,95,10,10,10,10,10,10,strict_14_with_grace_period,5,1.11
100%,7,7,101405,40.4286460197614,116.56082204513439,2,1,1,1,,$ 383.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,7,
100%,9,9,100000,39.84871410858681,116.33272245134778,2,1,1,1,,$ 308.00,,,$ 700.00,$ 0.00,2,$ 50.00,1,200,19,49,79,169,7,89,10,9,9,10,9,9,moderate,9,1.78
100%,1,1,100000,40.49606805820157,117.17218833671289,6,3,2,2,,"$ 1,677.00",,,,,1,$ 0.00,1,1125,20,50,80,170,0,,,,,,,,flexible,1,
100%,18,18,,39.911968536800174,116.65273909055107,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,moderate,18,
100%,7,7,100096,39.98933815064291,116.47628682916833,2,1,1,1,,$ 486.00,,,$ 666.00,$ 50.00,1,$ 0.00,1,1125,26,56,86,86,4,100,10,10,10,10,10,10,moderate,7,1.02
100%,1,1,102202,40.184345176421836,116.39979287642453,12,4,4,6,,"$ 3,977.00",,,,,1,$ 0.00,1,1125,30,60,90,180,1,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.71
88%,20,20,100096,39.95616292740925,116.45529647295724,2,1,1,1,,$ 329.00,,,,,1,$ 0.00,1,1125,25,55,85,175,2,100,10,10,10,10,10,10,flexible,20,0.5
100%,6,6,100009,39.891943196772175,116.44654090693402,6,1,2,3,,$ 589.00,,,$ 0.00,$ 80.00,1,$ 0.00,1,1125,5,30,60,150,10,100,10,10,10,10,10,10,flexible,6,3.03
100%,9,9,100123,39.90066168451944,116.54697246908006,2,1,1,1,,$ 315.00,,,,,1,$ 0.00,1,1125,28,58,88,363,2,100,10,10,10,10,10,10,strict_14_with_grace_period,4,0.51
43%,2,2,100000,39.932774269689006,116.51451850305277,4,1,2,2,,$ 561.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,2,
100%,9,9,100123,39.89881023906717,116.5478579905531,2,1,1,1,,$ 301.00,,,$ 0.00,,1,$ 0.00,1,1125,26,56,86,361,1,100,10,10,10,10,10,10,strict_14_with_grace_period,4,0.24
100%,3,3,100000,40.17734628316256,115.92833345803122,8,1,2,7,,"$ 1,082.00",,,"$ 1,000.00",,7,$ 100.00,1,30,25,55,85,85,6,97,10,9,10,10,8,9,strict_14_with_grace_period,3,1.62
100%,9,9,100123,39.8989158913323,116.54934661990337,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,28,58,88,363,2,100,10,10,10,10,10,10,moderate,4,0.66
100%,9,9,100123,39.898454417561126,116.54975537711913,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,28,58,88,363,0,,,,,,,,strict_14_with_grace_period,4,
100%,2,2,100122,39.866423300892556,116.46088699236861,2,1,1,1,,$ 349.00,,,,,1,$ 0.00,3,1125,0,0,0,0,1,80,8,10,10,8,8,8,flexible,2,0.37
100%,1,1,,39.933305996396086,116.47170176533925,1,0.5,1,1,,$ 185.00,,,,$ 56.00,1,$ 0.00,3,10,29,47,47,47,10,96,10,10,10,10,10,10,moderate,1,2.56
100%,2,2,100022,39.90118554539441,116.48567369344994,2,1,1,1,,$ 500.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,2,
100%,1,1,,39.87184518197,116.68994185371164,2,1,1,1,,$ 281.00,,,$ 650.00,$ 0.00,1,$ 0.00,1,30,20,50,80,170,4,100,10,10,10,10,9,10,flexible,1,1.08
100%,1,1,100000,39.94372121144231,116.40614699713572,2,1,1,1,,$ 281.00,,,,$ 80.00,1,$ 0.00,2,1125,17,17,47,137,8,98,10,10,10,10,10,10,flexible,1,2.82
100%,6,6,100022,39.897586587594844,116.46641558999696,1,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,9,39,69,344,1,100,10,10,10,10,10,10,flexible,6,0.33
100%,5,5,100083,40.000593310320994,116.35229423676724,1,1,1,1,,$ 96.00,,,$ 700.00,$ 35.00,1,$ 99.00,2,1125,30,60,90,180,5,100,10,10,10,10,10,10,flexible,5,1.29
100%,3,3,100176,39.86681145876658,116.42303380014954,4,1,0,2,,$ 452.00,,,,,1,$ 0.00,1,1125,19,49,79,166,1,40,4,4,4,6,6,6,flexible,3,0.41
100%,4,4,100039,39.906189927023284,116.26402633903459,2,1,0,1,,$ 178.00,,,,$ 34.00,1,$ 0.00,1,1125,24,54,84,174,1,100,10,10,10,10,10,10,flexible,4,0.26
100%,4,4,100039,39.9090999956291,116.2591932319733,4,1,0,2,,$ 185.00,,,,$ 32.00,2,$ 50.00,1,1125,24,54,84,84,4,100,10,10,10,10,10,10,flexible,4,1.02
100%,14,14,,39.923013615945216,116.58139055957909,2,1,1,1,,$ 301.00,,,$ 0.00,$ 50.00,1,$ 0.00,1,1125,19,49,79,354,6,100,10,10,10,10,10,10,strict_14_with_grace_period,14,1.46
100%,7,7,101405,40.42681298869561,116.56206037821615,2,1,1,1,,$ 383.00,,,,,1,$ 0.00,1,1125,28,58,88,363,1,100,10,10,10,10,10,10,flexible,7,0.75
100%,4,4,100039,39.90559810424932,116.26550809008506,2,1,1,1,,$ 178.00,,,,$ 35.00,1,$ 0.00,1,1125,25,55,85,175,2,100,10,10,10,9,9,10,flexible,4,1.28
100%,5,5,,39.989921763058064,116.35292577318873,1,1,1,1,,$ 96.00,,,$ 700.00,$ 35.00,1,$ 99.00,1,1125,30,60,90,365,5,100,10,10,9,10,10,10,strict_14_with_grace_period,5,1.3
100%,1,1,100001,39.930354431263765,116.45613083741517,2,1,1,1,,$ 267.00,,,,$ 40.00,1,$ 0.00,1,1125,23,53,83,173,21,98,10,10,10,10,10,10,moderate,1,5.34
71%,1,1,,40.28615133726078,116.63511283564922,16,3,6,10,,"$ 4,799.00",,,,,1,$ 0.00,1,1125,22,52,82,357,1,100,8,10,10,10,10,10,strict_14_with_grace_period,1,1
100%,7,7,100094,40.019439853773186,116.2851509846177,2,1,1,1,,$ 178.00,,,$ 650.00,$ 35.00,2,$ 35.00,1,1125,17,47,77,352,21,96,10,10,10,10,9,10,moderate,7,5.48
100%,7,7,100091,40.02008411064189,116.28528906768548,1,1,1,1,,$ 75.00,,,$ 0.00,$ 35.00,1,$ 0.00,1,1125,11,41,71,346,15,99,10,10,10,10,10,10,moderate,7,4.13
100%,5,5,100000,39.92285321114953,116.50222664858975,4,1,1,2,,$ 390.00,,,$ 0.00,$ 55.00,1,$ 0.00,1,1125,14,35,65,334,23,100,10,10,10,10,10,10,strict_14_with_grace_period,5,6
100%,1,1,100123,39.9155628182847,116.52472516964994,3,1,1,1,,$ 363.00,,,,,1,$ 0.00,1,30,11,41,71,346,23,97,10,10,10,10,10,10,flexible,1,6.97
100%,2,2,101500,40.69225747244332,117.16462377586168,4,1,2,2,,$ 979.00,,,"$ 2,000.00",$ 0.00,4,$ 50.00,1,1125,30,60,90,365,0,,,,,,,,flexible,2,
100%,11,11,100000,40.16417335478855,116.27075749327332,2,1,1,2,,$ 103.00,,,"$ 1,000.00",$ 80.00,1,$ 80.00,1,1125,1,24,54,329,2,90,10,8,9,9,9,9,flexible,11,2
100%,6,6,100096,39.99925732593865,116.46458904463753,1,1,1,1,,$ 82.00,,,,,1,$ 0.00,1,1125,24,42,54,329,5,96,10,10,10,9,9,9,strict_14_with_grace_period,6,3.57
100%,9,9,102102,40.36508469301017,115.99542883710433,2,1,1,2,,$ 267.00,,,,,1,$ 0.00,1,1125,16,46,76,351,0,,,,,,,,flexible,9,
100%,3,3,100025,39.92175483931797,116.48840227763345,1,1,1,1,,$ 185.00,,,,,1,$ 0.00,1,1125,29,59,89,179,9,96,10,9,10,10,10,10,flexible,3,2.48
100%,8,8,,39.89027894000257,116.44185195757294,2,1,1,1,,$ 185.00,,,,,1,$ 0.00,1,1125,26,56,86,176,12,95,10,10,10,10,10,10,flexible,8,2.98
100%,3,3,100176,39.84625439166883,116.44004274364671,4,1,1,3,,$ 500.00,,,,,1,$ 0.00,1,1125,18,48,78,353,1,100,10,10,10,10,8,10,flexible,3,0.7
100%,1,1,102488,39.58866350137983,115.80850581536619,15,2,2,7,,"$ 1,602.00",,,,,1,$ 0.00,1,1125,30,60,90,365,4,100,10,10,10,10,10,10,flexible,1,1.35
100%,14,14,101100,39.9091740413197,116.67155579453183,1,2,1,4,,$ 62.00,,,,,1,$ 0.00,1,90,22,52,82,172,1,100,10,8,10,10,8,8,flexible,13,0.91
100%,1,1,100085,40.0386633166244,116.34785705582296,1,1,2,1,,$ 110.00,,,,,1,$ 0.00,4,1125,24,54,84,84,3,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.76
100%,1,1,100001,39.926471818653745,116.42747400631876,2,0.5,1,1,,$ 178.00,,,$ 0.00,$ 32.00,2,$ 32.00,1,30,0,0,0,0,17,100,10,10,10,10,10,10,flexible,1,4.29
100%,1,1,101300,40.08078278672808,116.8278088857802,1,1,1,1,,$ 89.00,,,,,1,$ 0.00,1,1125,29,59,89,89,0,,,,,,,,flexible,1,
100%,2,2,100000,39.77426782936646,116.17354264055726,4,1,2,2,,$ 288.00,,,,,1,$ 0.00,1,1125,0,0,0,0,1,60,8,6,10,10,8,10,flexible,2,0.25
100%,1,1,100042,39.998303873757905,116.19148111839665,10,1,4,13,,$ 199.00,,,,,1,$ 0.00,1,1125,30,60,90,365,2,100,10,10,9,10,9,10,flexible,1,0.54
100%,3,3,,40.338218287886555,116.85732200955371,8,2,2,2,,"$ 1,479.00",,,"$ 2,000.00",$ 0.00,1,$ 0.00,1,1125,24,54,84,174,3,100,10,10,10,10,10,9,flexible,3,1.64
100%,82,82,,39.82825150005623,116.34490161977449,16,4,5,7,,"$ 4,278.00",,,"$ 1,000.00",,1,$ 0.00,1,1125,29,59,89,89,0,,,,,,,,strict_14_with_grace_period,13,
100%,82,82,,39.62282534133269,116.30567623065818,16,6,6,10,,"$ 5,887.00",,,"$ 1,000.00",,1,$ 0.00,1,1125,29,59,89,89,0,,,,,,,,strict_14_with_grace_period,13,
100%,82,82,,39.93479026016129,116.66685245296885,16,2,3,3,,"$ 6,380.00",,,"$ 1,000.00",,1,$ 0.00,1,1125,29,59,89,89,0,,,,,,,,strict_14_with_grace_period,13,
90%,1,1,100022,39.89471825566421,116.48815054982877,5,1,2,2,,$ 513.00,,,$ 0.00,$ 60.00,1,$ 0.00,2,1125,11,38,68,343,5,88,9,10,9,9,10,10,strict_14_with_grace_period,1,1.32
100%,24,24,100010,39.88875071721772,116.4032881758878,8,1,2,4,,$ 849.00,,,,$ 50.00,1,$ 0.00,1,1125,15,45,75,350,7,89,9,9,10,10,9,9,moderate,24,2.92
100%,1,1,100001,39.93288290781953,116.46435878289795,2,1,1,1,,$ 288.00,,,$ 0.00,$ 0.00,1,$ 60.00,1,1125,11,41,71,71,17,100,10,10,10,10,10,10,flexible,1,4.51
94%,6,6,,39.894307189973844,116.46506000299635,2,1,1,1,,$ 465.00,,,,,1,$ 0.00,1,1125,17,47,77,352,1,100,10,10,10,10,10,10,flexible,6,1
N/A,1,1,100144,39.92977866862892,116.18776293829902,2,1,0,1,,$ 110.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
60%,8,8,101100,39.922188509214585,116.65734428566091,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,8,
100%,8,8,102400,39.72301308268873,116.16817045481162,2,1,1,2,,$ 267.00,,,$ 800.00,$ 0.00,1,$ 0.00,1,1125,24,54,84,359,2,60,9,8,7,6,9,6,strict_14_with_grace_period,8,0.49
60%,8,8,101100,39.920330334894494,116.65835523003948,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,8,
60%,8,8,101100,39.919999115919026,116.65706164039183,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,8,0.29
60%,8,8,101100,39.92196097570634,116.6592681345438,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,8,
60%,8,8,101100,39.920174481211376,116.65788038329626,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,8,
60%,8,8,101100,39.9197878437243,116.65831689878478,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,8,
60%,8,8,101100,39.92168781687584,116.65896191074457,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,30,60,90,180,1,100,10,10,10,10,10,10,flexible,8,0.28
100%,1,1,,40.21575994337202,116.60171866418575,5,3,3,4,,$ 301.00,,,,,1,$ 0.00,1,1125,29,59,89,179,1,60,8,6,8,8,6,6,flexible,1,1
N/A,1,1,100096,39.97093020537195,116.4421202518722,2,1,1,1,,$ 260.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
N/A,1,1,100096,40.002028052664144,116.48182015150165,2,1,1,1,,$ 151.00,,,$ 800.00,$ 35.00,1,$ 0.00,1,10,0,0,0,0,2,100,10,10,10,10,10,9,flexible,1,0.56
100%,9,9,102102,40.36554937016406,115.99446130060166,4,1,2,3,,$ 589.00,,,,,1,$ 0.00,1,1125,22,48,78,353,0,,,,,,,,flexible,9,
100%,13,13,100070,39.8500847542405,116.37116520872,4,1,2,2,,$ 465.00,,,,,1,$ 0.00,1,1125,23,51,79,354,3,100,10,9,10,10,10,9,moderate,13,1.41
100%,4,4,,39.89885068301183,116.46055179100034,4,2,2,2,,$ 500.00,,,$ 688.00,$ 100.00,4,$ 100.00,1,1125,6,21,40,40,6,100,10,10,10,10,10,10,moderate,1,1.51
100%,7,7,100025,39.911752457808596,116.48645007177035,2,1,1,1,,$ 267.00,,,$ 0.00,$ 0.00,1,$ 59.00,1,30,29,59,89,89,10,98,10,10,10,10,10,10,strict_14_with_grace_period,7,2.52
100%,1,1,100022,39.89171901651231,116.46935742683897,2,1,1,1,,$ 356.00,,,,,1,$ 0.00,4,1125,12,25,55,55,5,100,10,10,10,10,10,9,moderate,1,2.38
90%,6,6,100000,40.00786005486205,116.40912499449281,2,1,1,1,,$ 370.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,6,
100%,3,3,100044,39.93670497977379,116.3133707385042,4,1,2,2,,$ 438.00,,,,,1,$ 0.00,1,1125,19,49,79,354,0,,,,,,,,flexible,3,
90%,6,6,100000,40.00834001256799,116.4089883541691,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,6,
100%,1,1,100096,39.99789496850245,116.48421124830311,4,1,2,2,,$ 650.00,,,,$ 80.00,1,$ 0.00,1,1125,0,0,0,155,4,100,10,10,10,10,10,10,moderate,1,2.07
91%,4,4,,39.89109463130368,116.4097984566724,4,1,1,2,,$ 719.00,,,$ 643.00,$ 55.00,1,$ 0.00,1,1125,26,56,86,361,8,98,10,10,10,10,10,10,moderate,4,2.07
91%,4,4,,39.90520455286403,116.41473733003605,2,1,1,1,,$ 561.00,,,$ 643.00,$ 60.00,1,$ 0.00,7,1125,13,43,73,348,1,100,10,10,10,10,10,10,moderate,4,0.25
79%,51,51,101400,40.447109905863854,116.5816731218057,16,6,6,7,,"$ 3,279.00",,,$ 650.00,$ 0.00,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,28,
90%,6,6,100000,40.00967634862224,116.40750531146371,6,1,1,6,,$ 671.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,strict_14_with_grace_period,6,
100%,1,1,102101,40.37422281464163,115.88737372647805,10,3.5,4,5,,"$ 3,998.00",,,,,1,$ 0.00,1,1125,23,53,83,358,0,,,,,,,,flexible,1,
100%,1,1,101300,40.066788031073806,116.5484193740577,5,2,2,4,,$ 657.00,,,,,1,$ 0.00,1,1125,26,56,86,176,3,100,10,10,10,10,9,10,flexible,1,2.37
100%,1,1,100076,39.78665432093658,116.41642918105826,2,1,1,2,,$ 500.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
90%,6,6,100000,40.00997170520439,116.40801389774323,4,1,1,4,,$ 397.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,80,10,8,10,10,10,10,strict_14_with_grace_period,6,0.58
90%,34,34,,39.904633288334836,116.44604781366188,4,1,2,2,,$ 630.00,,,$ 800.00,$ 0.00,1,$ 0.00,1,180,30,60,90,365,3,93,9,9,10,10,10,10,strict_14_with_grace_period,33,1.8
77%,69,69,,40.40284968581832,116.67930559445263,12,6,6,7,,"$ 4,278.00",,,,,1,$ 0.00,1,99,29,59,89,364,0,,,,,,,,strict_14_with_grace_period,21,
94%,6,6,,39.8818071688494,116.46304750531489,4,1,2,2,,$ 657.00,,,,,1,$ 0.00,2,1125,18,48,78,353,8,100,10,10,10,10,10,10,flexible,6,2.03
93%,1,1,100022,39.901333650254315,116.46699272254695,8,2,3,5,,$ 979.00,,,$ 0.00,$ 50.00,1,$ 0.00,1,1125,14,38,68,343,16,98,10,10,10,10,9,10,flexible,1,4.1
40%,3,3,100000,39.8826157405605,116.4523338684326,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,30,1125,30,60,90,365,1,,,,,,,,flexible,3,
100%,14,14,10000,40.011745873056746,116.3566784556344,6,1,1,6,,$ 68.00,,,,,1,$ 108.00,30,1125,30,60,90,365,5,96,9,9,10,10,9,9,moderate,14,1.23
100%,5,5,100022,39.89939988833625,116.46775519540392,1,1,2,1,,$ 281.00,,,$ 800.00,$ 66.00,1,$ 88.00,1,1125,30,60,90,90,2,100,10,10,10,10,10,10,flexible,5,2
100%,7,7,100020,39.92421420917569,116.61812641329985,7,2,2,3,,$ 486.00,,,$ 0.00,$ 70.00,5,$ 50.00,1,1111,22,52,82,357,2,100,10,9,10,10,10,10,strict_14_with_grace_period,7,0.58
100%,2,2,100101,40.04451784375212,116.41360996063958,4,1,2,2,,$ 698.00,,,$ 634.00,,1,$ 0.00,1,1125,24,54,84,84,0,,,,,,,,moderate,2,
100%,33,33,,39.89572364261756,116.46546629155792,2,1,1,1,,$ 472.00,,,,,1,$ 0.00,1,1125,18,48,78,353,11,100,10,10,10,10,10,10,flexible,33,2.89
94%,2,2,,39.87932851693992,116.45723787217321,2,1,0,1,,$ 199.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,,,,,,,,flexible,2,
N/A,1,1,100020,39.91106038002097,116.5550673514575,2,1,0,1,,$ 397.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
